"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "TypeScript JSX", "JSON", "CSS", "Markdown", "comment", "blank", "total"
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPost\Replies.tsx", "TypeScript JSX", 0, 0, 0, 79, 0, 0, 0, 0, 3, 82
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPost\ReplySection.tsx", "TypeScript JSX", 0, 0, 0, 166, 0, 0, 0, 0, 21, 187
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPost\TagList.tsx", "TypeScript JSX", 0, 0, 0, 47, 0, 0, 0, 0, 6, 53
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\RecipeCard\RecipeCard.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 2, 25
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\RecipeCard\RecipeDetails.tsx", "TypeScript JSX", 0, 0, 0, 91, 0, 0, 0, 0, 5, 96
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\RecipeCard\RecipeHeading.tsx", "TypeScript JSX", 0, 0, 0, 109, 0, 0, 0, 0, 12, 121
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\RecipeCard\RecipeImage.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 4, 35
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\RecipeCard\RecipeIngredients.tsx", "TypeScript JSX", 0, 0, 0, 128, 0, 0, 0, 3, 9, 140
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\RecipeCard\RecipeInstructions.tsx", "TypeScript JSX", 0, 0, 0, 48, 0, 0, 0, 0, 3, 51
"r:\Code\Javascript\Nextjs\foodica\src\components\Bloglist\Bloglist.tsx", "TypeScript JSX", 0, 0, 0, 74, 0, 0, 0, 0, 9, 83
"r:\Code\Javascript\Nextjs\foodica\src\components\Bloglist\Pagination\DirectionIcon.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"r:\Code\Javascript\Nextjs\foodica\src\components\Bloglist\Pagination\Pagination.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 2, 33
"r:\Code\Javascript\Nextjs\foodica\src\components\Bloglist\Pagination\PaginationButton.tsx", "TypeScript JSX", 0, 0, 0, 34, 0, 0, 0, 0, 3, 37
"r:\Code\Javascript\Nextjs\foodica\src\components\Bloglist\Pagination\PaginationButtons.tsx", "TypeScript JSX", 0, 0, 0, 38, 0, 0, 0, 0, 6, 44
"r:\Code\Javascript\Nextjs\foodica\src\components\Bloglist\Pagination\PaginationDirectionButton.tsx", "TypeScript JSX", 0, 0, 0, 49, 0, 0, 0, 0, 6, 55
"r:\Code\Javascript\Nextjs\foodica\src\components\ClickableName.tsx", "TypeScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 2, 27
"r:\Code\Javascript\Nextjs\foodica\src\components\ClickableTitle.tsx", "TypeScript JSX", 0, 0, 0, 83, 0, 0, 0, 0, 5, 88
"r:\Code\Javascript\Nextjs\foodica\src\components\CommentsLink.tsx", "TypeScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 4, 34
"r:\Code\Javascript\Nextjs\foodica\src\components\FollowMe.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"r:\Code\Javascript\Nextjs\foodica\src\components\Footer\Footer.tsx", "TypeScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"r:\Code\Javascript\Nextjs\foodica\src\components\Footer\lower\LowerFooter.tsx", "TypeScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 2, 34
"r:\Code\Javascript\Nextjs\foodica\src\components\Footer\upper\Category.tsx", "TypeScript JSX", 0, 0, 0, 38, 0, 0, 0, 0, 2, 40
"r:\Code\Javascript\Nextjs\foodica\src\components\Footer\upper\UpperFooter.tsx", "TypeScript JSX", 0, 0, 0, 28, 0, 0, 0, 0, 2, 30
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\FoodicaLogo\FoodicaLogo.tsx", "TypeScript JSX", 0, 0, 0, 91, 0, 0, 0, 0, 4, 95
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\FoodicaLogo\Letter.tsx", "TypeScript JSX", 0, 0, 0, 68, 0, 0, 0, 0, 6, 74
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\Header.tsx", "TypeScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 4, 29
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\BurgerMenu\BurgerMenu.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\BurgerMenu\DropdownCloseOpenIcon.tsx", "TypeScript JSX", 0, 0, 0, 40, 0, 0, 0, 0, 4, 44
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\BurgerMenu\DroppedLinks.tsx", "TypeScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 2, 32
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\BurgerMenu\Icon.tsx", "TypeScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 4, 36
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\BurgerMenu\LinkWithDropdown.tsx", "TypeScript JSX", 0, 0, 0, 61, 0, 0, 0, 0, 7, 68
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\BurgerMenu\Links.tsx", "TypeScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 3, 38
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\BurgerMenu\MenuLink.tsx", "TypeScript JSX", 0, 0, 0, 70, 0, 0, 0, 0, 8, 78
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\NavigationLinks.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\NormalMenu\DropdownCloseOpenIcon.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 3, 29
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\NormalMenu\DroppedLinks.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\NormalMenu\LinkWithDropdown.tsx", "TypeScript JSX", 0, 0, 0, 41, 0, 0, 0, 0, 5, 46
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\NormalMenu\MenuLink.tsx", "TypeScript JSX", 0, 0, 0, 37, 0, 0, 0, 0, 4, 41
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\NormalMenu\NormalMenu.tsx", "TypeScript JSX", 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\Searchbar\Searchbar.tsx", "TypeScript JSX", 0, 0, 0, 39, 0, 0, 0, 0, 7, 46
"r:\Code\Javascript\Nextjs\foodica\src\components\HighlightedBlog.tsx", "TypeScript JSX", 0, 0, 0, 76, 0, 0, 0, 0, 3, 79
"r:\Code\Javascript\Nextjs\foodica\src\components\HighlightedBlogImage.tsx", "TypeScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"r:\Code\Javascript\Nextjs\foodica\src\components\Icons.tsx", "TypeScript JSX", 0, 0, 0, 338, 0, 0, 0, 0, 14, 352
"r:\Code\Javascript\Nextjs\foodica\src\components\LoadingAnimation.tsx", "TypeScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"r:\Code\Javascript\Nextjs\foodica\src\components\LoginWidget.tsx", "TypeScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 2, 37
"r:\Code\Javascript\Nextjs\foodica\src\components\MainBlogsSection.tsx", "TypeScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"r:\Code\Javascript\Nextjs\foodica\src\components\MessageAboveBlogs.tsx", "TypeScript JSX", 0, 0, 0, 43, 0, 0, 0, 0, 3, 46
"r:\Code\Javascript\Nextjs\foodica\src\components\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 2, 21
"r:\Code\Javascript\Nextjs\foodica\src\components\PostsDateDisplay.tsx", "TypeScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"r:\Code\Javascript\Nextjs\foodica\src\components\RegisterForm\CustomInput.tsx", "TypeScript JSX", 0, 0, 0, 330, 0, 0, 0, 0, 17, 347
"r:\Code\Javascript\Nextjs\foodica\src\components\RegisterForm\ImageInput.tsx", "TypeScript JSX", 0, 0, 0, 38, 0, 0, 0, 0, 4, 42
"r:\Code\Javascript\Nextjs\foodica\src\components\RegisterForm\RegisterForm.tsx", "TypeScript JSX", 0, 0, 0, 217, 0, 0, 0, 10, 25, 252
"r:\Code\Javascript\Nextjs\foodica\src\components\RegisterForm\SubmitAccountButton.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"r:\Code\Javascript\Nextjs\foodica\src\components\RegisterForm\inputField.tsx", "TypeScript JSX", 0, 0, 0, 142, 0, 0, 0, 0, 9, 151
"r:\Code\Javascript\Nextjs\foodica\src\components\RegisterForm\schemas.tsx", "TypeScript JSX", 0, 0, 0, 28, 0, 0, 0, 0, 4, 32
"r:\Code\Javascript\Nextjs\foodica\src\components\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 167, 0, 0, 0, 0, 10, 177
"r:\Code\Javascript\Nextjs\foodica\src\components\SingleImageDropzone.tsx", "TypeScript JSX", 0, 0, 0, 199, 0, 0, 0, 12, 15, 226
"r:\Code\Javascript\Nextjs\foodica\src\components\SocialWidget.tsx", "TypeScript JSX", 0, 0, 0, 102, 0, 0, 0, 3, 8, 113
"r:\Code\Javascript\Nextjs\foodica\src\components\UserBadge.tsx", "TypeScript JSX", 0, 0, 0, 64, 0, 0, 0, 2, 3, 69
"r:\Code\Javascript\Nextjs\foodica\src\components\styled-buttons.tsx", "TypeScript JSX", 0, 0, 0, 34, 0, 0, 0, 1, 5, 40
"r:\Code\Javascript\Nextjs\foodica\src\general-utils\app-routes.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 1, 8, 41
"r:\Code\Javascript\Nextjs\foodica\src\general-utils\blogsFunctions.ts", "TypeScript", 0, 125, 0, 0, 0, 0, 0, 0, 7, 132
"r:\Code\Javascript\Nextjs\foodica\src\general-utils\delay.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"r:\Code\Javascript\Nextjs\foodica\src\general-utils\filterNulls.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 6, 21
"r:\Code\Javascript\Nextjs\foodica\src\general-utils\formatCreationDate.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"r:\Code\Javascript\Nextjs\foodica\src\general-utils\linksFunctions.ts", "TypeScript", 0, 209, 0, 0, 0, 0, 0, 0, 5, 214
"r:\Code\Javascript\Nextjs\foodica\src\general-utils\removeDuplicates.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"r:\Code\Javascript\Nextjs\foodica\src\general-utils\shortenText.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"r:\Code\Javascript\Nextjs\foodica\src\general-utils\usersFunctions.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"r:\Code\Javascript\Nextjs\foodica\src\layouts\author-blogs-layout.tsx", "TypeScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"r:\Code\Javascript\Nextjs\foodica\src\layouts\blogs-layout.tsx", "TypeScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"r:\Code\Javascript\Nextjs\foodica\src\layouts\root-layout.tsx", "TypeScript JSX", 0, 0, 0, 39, 0, 0, 0, 0, 2, 41
"r:\Code\Javascript\Nextjs\foodica\src\lib\edgestore-server.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 6, 7, 34
"r:\Code\Javascript\Nextjs\foodica\src\lib\edgestore.tsx", "TypeScript JSX", 0, 0, 0, 6, 0, 0, 0, 0, 5, 11
"r:\Code\Javascript\Nextjs\foodica\src\lib\next-auth-session.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"r:\Code\Javascript\Nextjs\foodica\src\loading\blog-post-loading.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"r:\Code\Javascript\Nextjs\foodica\src\loading\blogs-by-date-loading.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"r:\Code\Javascript\Nextjs\foodica\src\loading\blogs-by-month-loading.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"r:\Code\Javascript\Nextjs\foodica\src\loading\blogs-by-year-loading.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"r:\Code\Javascript\Nextjs\foodica\src\loading\blogs-loading.tsx", "TypeScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 3, 25
"r:\Code\Javascript\Nextjs\foodica\src\pages\author-blogs-page.tsx", "TypeScript JSX", 0, 0, 0, 39, 0, 0, 0, 0, 4, 43
"r:\Code\Javascript\Nextjs\foodica\src\pages\blog-post-page.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"r:\Code\Javascript\Nextjs\foodica\src\pages\blogs-by-date-page.tsx", "TypeScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 2, 37
"r:\Code\Javascript\Nextjs\foodica\src\pages\blogs-by-month-page.tsx", "TypeScript JSX", 0, 0, 0, 34, 0, 0, 0, 0, 2, 36
"r:\Code\Javascript\Nextjs\foodica\src\pages\blogs-by-year-page.tsx", "TypeScript JSX", 0, 0, 0, 29, 0, 0, 0, 0, 3, 32
"r:\Code\Javascript\Nextjs\foodica\src\pages\blogs-page.tsx", "TypeScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 4, 29
"r:\Code\Javascript\Nextjs\foodica\src\pages\create-blog-loading.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"r:\Code\Javascript\Nextjs\foodica\src\pages\create-blog-page.tsx", "TypeScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 2, 24
"r:\Code\Javascript\Nextjs\foodica\src\pages\register-page.tsx", "TypeScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"r:\Code\Javascript\Nextjs\foodica\src\server-utils\authorsFunctions.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"r:\Code\Javascript\Nextjs\foodica\src\server-utils\blogIdHashing.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 7, 39
"r:\Code\Javascript\Nextjs\foodica\src\server-utils\blogsFunctions.ts", "TypeScript", 0, 261, 0, 0, 0, 0, 0, 21, 40, 322
"r:\Code\Javascript\Nextjs\foodica\src\server-utils\passwordFunctions.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 2, 2, 22
"r:\Code\Javascript\Nextjs\foodica\src\server-utils\userFunctions.ts", "TypeScript", 0, 178, 0, 0, 0, 0, 0, 1, 27, 206
"r:\Code\Javascript\Nextjs\foodica\src\style\ClickableTag.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 4, 31
"r:\Code\Javascript\Nextjs\foodica\src\style\back-to-top-button.css", "CSS", 0, 0, 0, 0, 0, 47, 0, 4, 7, 58
"r:\Code\Javascript\Nextjs\foodica\src\style\burger-menu-button.css", "CSS", 0, 0, 0, 0, 0, 21, 0, 0, 6, 27
"r:\Code\Javascript\Nextjs\foodica\src\style\buttons\1.css", "CSS", 0, 0, 0, 0, 0, 78, 0, 2, 12, 92
"r:\Code\Javascript\Nextjs\foodica\src\style\buttons\2.css", "CSS", 0, 0, 0, 0, 0, 53, 0, 0, 9, 62
