"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "JSON", "CSS", "JSON with Comments", "Markdown", "comment", "blank", "total"
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\Header.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 0, 0, 0, 4, 29
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\BurgerMenu\BurgerMenu.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 5, 19
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\BurgerMenu\DropdownCloseOpenIcon.tsx", "TypeScript JSX", 0, 42, 0, 0, 0, 0, 0, 0, 4, 46
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\BurgerMenu\DroppedLinks.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 0, 0, 0, 2, 32
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\BurgerMenu\Icon.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 0, 0, 0, 4, 38
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\BurgerMenu\LinkWithDropdown.tsx", "TypeScript JSX", 0, 60, 0, 0, 0, 0, 0, 0, 7, 67
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\BurgerMenu\Links.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 0, 0, 0, 3, 39
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\BurgerMenu\MenuLink.tsx", "TypeScript JSX", 0, 68, 0, 0, 0, 0, 0, 1, 7, 76
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\BurgerMenu\styles.css", "CSS", 0, 0, 0, 0, 21, 0, 0, 16, 7, 44
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\NavigationLinks.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 0, 0, 0, 2, 27
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\NormalMenu\DropdownCloseOpenIcon.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\NormalMenu\DroppedLinks.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\NormalMenu\LinkWithDropdown.tsx", "TypeScript JSX", 0, 42, 0, 0, 0, 0, 0, 0, 5, 47
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\NormalMenu\MenuLink.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 0, 0, 0, 4, 40
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\NormalMenu\NormalMenu.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\NavigationLinks\Searchbar\Searchbar.tsx", "TypeScript JSX", 0, 94, 0, 0, 0, 0, 0, 2, 13, 109
"r:\Code\Javascript\Nextjs\foodica\src\components\HighlightedBlog.tsx", "TypeScript JSX", 0, 88, 0, 0, 0, 0, 0, 0, 5, 93
"r:\Code\Javascript\Nextjs\foodica\src\components\HighlightedBlogImage.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"r:\Code\Javascript\Nextjs\foodica\src\components\Icons.tsx", "TypeScript JSX", 0, 318, 0, 0, 0, 0, 0, 0, 12, 330
"r:\Code\Javascript\Nextjs\foodica\src\components\LoginWidget.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 0, 0, 0, 2, 36
"r:\Code\Javascript\Nextjs\foodica\src\components\MainBlogsSection.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"r:\Code\Javascript\Nextjs\foodica\src\components\MessageAboveBlogs.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 3, 36
